Iter=323, Average Loss=0.427843, Time Elapsed=06:29
Iter=324, Average Loss=0.343562, Time Elapsed=06:30
Iter=325, Average Loss=0.275209, Time Elapsed=06:32
Iter=326, Average Loss=0.239214, Time Elapsed=06:33
Iter=327, Average Loss=0.250258, Time Elapsed=06:34
Iter=328, Average Loss=0.283095, Time Elapsed=06:36
Iter=329, Average Loss=0.377973, Time Elapsed=06:37
Iter=330, Average Loss=0.360590, Time Elapsed=06:39
Iter=331, Average Loss=0.395134, Time Elapsed=06:40
Iter=332, Average Loss=0.313774, Time Elapsed=06:41
Iter=333, Average Loss=0.352376, Time Elapsed=06:42
Iter=334, Average Loss=0.303722, Time Elapsed=06:44
Iter=335, Average Loss=0.382984, Time Elapsed=06:45
Iter=336, Average Loss=0.323373, Time Elapsed=06:47
Iter=337, Average Loss=0.248207, Time Elapsed=06:48
Iter=338, Average Loss=0.374458, Time Elapsed=06:49
Iter=339, Average Loss=0.321540, Time Elapsed=06:51
Iter=340, Average Loss=0.327348, Time Elapsed=06:52
Iter=341, Average Loss=0.355653, Time Elapsed=06:53
Iter=342, Average Loss=0.298467, Time Elapsed=06:54
Iter=343, Average Loss=0.302702, Time Elapsed=06:56
Iter=344, Average Loss=0.237477, Time Elapsed=06:57
Iter=345, Average Loss=0.361097, Time Elapsed=06:58
Iter=346, Average Loss=0.417270, Time Elapsed=06:59
Iter=347, Average Loss=0.446411, Time Elapsed=07:01
Iter=348, Average Loss=0.410004, Time Elapsed=07:02
Iter=349, Average Loss=0.475774, Time Elapsed=07:03
Iter=350, Average Loss=0.302478, Time Elapsed=07:04
Iter=351, Average Loss=0.252454, Time Elapsed=07:06
Iter=352, Average Loss=0.236380, Time Elapsed=07:07
Iter=353, Average Loss=0.350782, Time Elapsed=07:08
Iter=354, Average Loss=0.343911, Time Elapsed=07:09
Iter=355, Average Loss=0.314108, Time Elapsed=07:11
Iter=356, Average Loss=0.335913, Time Elapsed=07:12
Iter=357, Average Loss=0.264249, Time Elapsed=07:13
Iter=358, Average Loss=0.312946, Time Elapsed=07:14
Iter=359, Average Loss=0.340485, Time Elapsed=07:15
Iter=360, Average Loss=0.288645, Time Elapsed=07:17
Iter=361, Average Loss=0.265643, Time Elapsed=07:18
Iter=362, Average Loss=0.238590, Time Elapsed=07:19
Iter=363, Average Loss=0.195328, Time Elapsed=07:20
Iter=364, Average Loss=0.261782, Time Elapsed=07:22
Iter=365, Average Loss=0.336675, Time Elapsed=07:23
Iter=366, Average Loss=0.329837, Time Elapsed=07:24
Iter=367, Average Loss=0.376165, Time Elapsed=07:25
Iter=368, Average Loss=0.214863, Time Elapsed=07:27
Iter=369, Average Loss=0.336725, Time Elapsed=07:28
Iter=370, Average Loss=0.360168, Time Elapsed=07:29
Iter=371, Average Loss=0.340209, Time Elapsed=07:30
Iter=372, Average Loss=0.264992, Time Elapsed=07:31
Iter=373, Average Loss=0.335769, Time Elapsed=07:33
Iter=374, Average Loss=0.271101, Time Elapsed=07:34
Iter=375, Average Loss=0.268051, Time Elapsed=07:35
Iter=376, Average Loss=0.297058, Time Elapsed=07:37
Iter=377, Average Loss=0.224028, Time Elapsed=07:38
Iter=378, Average Loss=0.293957, Time Elapsed=07:39
Iter=379, Average Loss=0.363278, Time Elapsed=07:40
Iter=380, Average Loss=0.331552, Time Elapsed=07:42
Iter=381, Average Loss=0.208650, Time Elapsed=07:43
Iter=382, Average Loss=0.353817, Time Elapsed=07:44
Iter=383, Average Loss=0.243869, Time Elapsed=07:46
Iter=384, Average Loss=0.256717, Time Elapsed=07:47
Iter=385, Average Loss=0.275268, Time Elapsed=07:49
Iter=386, Average Loss=0.216506, Time Elapsed=07:50
Iter=387, Average Loss=0.194669, Time Elapsed=07:52
Iter=388, Average Loss=0.273438, Time Elapsed=07:53
Iter=389, Average Loss=0.311172, Time Elapsed=07:55
Iter=390, Average Loss=0.308659, Time Elapsed=07:56
Iter=391, Average Loss=0.455968, Time Elapsed=07:58
Iter=392, Average Loss=0.284234, Time Elapsed=07:59
Iter=393, Average Loss=0.234017, Time Elapsed=08:01
Iter=394, Average Loss=0.283482, Time Elapsed=08:02
Iter=395, Average Loss=0.283841, Time Elapsed=08:04
Iter=396, Average Loss=0.225465, Time Elapsed=08:05
Iter=397, Average Loss=0.165376, Time Elapsed=08:07
Iter=398, Average Loss=0.258500, Time Elapsed=08:08
Iter=399, Average Loss=0.522068, Time Elapsed=08:09
Iter=400, Average Loss=0.291269, Time Elapsed=08:11
Iter=401, Average Loss=0.251457, Time Elapsed=08:12
Iter=402, Average Loss=0.312260, Time Elapsed=08:14
Iter=403, Average Loss=0.217111, Time Elapsed=08:15
Iter=404, Average Loss=0.256585, Time Elapsed=08:17
Iter=405, Average Loss=0.207038, Time Elapsed=08:19
Iter=406, Average Loss=0.225724, Time Elapsed=08:20
Iter=407, Average Loss=0.202301, Time Elapsed=08:22
Iter=408, Average Loss=0.264625, Time Elapsed=08:24
Iter=409, Average Loss=0.281644, Time Elapsed=08:25
Iter=410, Average Loss=0.263031, Time Elapsed=08:27
Iter=411, Average Loss=0.341564, Time Elapsed=08:30
Iter=412, Average Loss=0.170772, Time Elapsed=08:32
Iter=413, Average Loss=0.276888, Time Elapsed=08:34
Iter=414, Average Loss=0.224963, Time Elapsed=08:36
Iter=415, Average Loss=0.286281, Time Elapsed=08:38
Iter=416, Average Loss=0.191137, Time Elapsed=08:40
Iter=417, Average Loss=0.202201, Time Elapsed=08:42
Iter=418, Average Loss=0.219249, Time Elapsed=08:43
Iter=419, Average Loss=0.276115, Time Elapsed=08:45
Iter=420, Average Loss=0.425321, Time Elapsed=08:47
Iter=421, Average Loss=0.428479, Time Elapsed=08:48
Iter=422, Average Loss=0.197685, Time Elapsed=08:50
Iter=423, Average Loss=0.266482, Time Elapsed=08:51
Iter=424, Average Loss=0.228778, Time Elapsed=08:53
Iter=425, Average Loss=0.197102, Time Elapsed=08:55
Iter=426, Average Loss=0.229176, Time Elapsed=08:56
Iter=427, Average Loss=0.277869, Time Elapsed=08:58
Iter=428, Average Loss=0.274112, Time Elapsed=08:59
Iter=429, Average Loss=0.321327, Time Elapsed=09:01
Iter=430, Average Loss=0.220328, Time Elapsed=09:02
Iter=431, Average Loss=0.246613, Time Elapsed=09:04
Iter=432, Average Loss=0.312722, Time Elapsed=09:05
Iter=433, Average Loss=0.213994, Time Elapsed=09:07
Iter=434, Average Loss=0.324224, Time Elapsed=09:09
Iter=435, Average Loss=0.212068, Time Elapsed=09:10
Iter=436, Average Loss=0.230990, Time Elapsed=09:12
Iter=437, Average Loss=0.198540, Time Elapsed=09:13
Iter=438, Average Loss=0.162647, Time Elapsed=09:14
